locality_name;district_name;province_name
Juan A. de la Peña;Pergamino;Provincia de Buenos Aires
Juan Anchorena (Est. Urquiza);Pergamino;Provincia de Buenos Aires
La Violeta;Pergamino;Provincia de Buenos Aires
Manuel Ocampo;Pergamino;Provincia de Buenos Aires
Mariano Benítez;Pergamino;Provincia de Buenos Aires
Mariano H. Alfonzo (Est. San Patricio);Pergamino;Provincia de Buenos Aires
Pergamino;Pergamino;Provincia de Buenos Aires
Pinzón;Pergamino;Provincia de Buenos Aires
Rancagua;Pergamino;Provincia de Buenos Aires
Villa Angélica (Est. El Socorro);Pergamino;Provincia de Buenos Aires
Villa San José;Pergamino;Provincia de Buenos Aires
Casalins;Pila;Provincia de Buenos Aires
Pila;Pila;Provincia de Buenos Aires
Barrio Parque Almirante Irizar (Ap. Kilómetro 61) ;Pilar;Provincia de Buenos Aires
Club de Campo Larena - Los Quinchos;Pilar;Provincia de Buenos Aires
Country Club El Jagüel ;Pilar;Provincia de Buenos Aires
Pilar;Pilar;Provincia de Buenos Aires
Pinamar ;Pinamar;Provincia de Buenos Aires
Presidente Perón;Presidente Perón;Provincia de Buenos Aires
Azopardo;Puán;Provincia de Buenos Aires
Bordenave;Puán;Provincia de Buenos Aires
Darregueira;Puán;Provincia de Buenos Aires
"17 de Agosto";Puán;Provincia de Buenos Aires
Estela;Puán;Provincia de Buenos Aires
Felipe Solá;Puán;Provincia de Buenos Aires
López Lecube;Puán;Provincia de Buenos Aires
Puán;Puán;Provincia de Buenos Aires
San Germán;Puán;Provincia de Buenos Aires
Villa Castelar (Est. Erize);Puán;Provincia de Buenos Aires
Villa Iris;Puán;Provincia de Buenos Aires
Alvarez Jonte;Punta Indio;Provincia de Buenos Aires
Las Tahonas;Punta Indio;Provincia de Buenos Aires
Pipinas;Punta Indio;Provincia de Buenos Aires
Punta Indio;Punta Indio;Provincia de Buenos Aires
Verónica;Punta Indio;Provincia de Buenos Aires
Quilmes;Quilmes;Provincia de Buenos Aires
El Paraíso;Ramallo;Provincia de Buenos Aires
Las Bahamas;Ramallo;Provincia de Buenos Aires
Pérez Millán;Ramallo;Provincia de Buenos Aires
Ramallo;Ramallo;Provincia de Buenos Aires
Villa General Savio (Est. Sánchez);Ramallo;Provincia de Buenos Aires
Villa Ramallo;Ramallo;Provincia de Buenos Aires
Rauch;Rauch;Provincia de Buenos Aires
América;Rivadavia;Provincia de Buenos Aires
Fortín Olavarría;Rivadavia;Provincia de Buenos Aires
Gonzalez Moreno;Rivadavia;Provincia de Buenos Aires
Mira Pampa;Rivadavia;Provincia de Buenos Aires
Roosevelt;Rivadavia;Provincia de Buenos Aires
San Mauricio;Rivadavia;Provincia de Buenos Aires
Sansinena;Rivadavia;Provincia de Buenos Aires
Sundblad;Rivadavia;Provincia de Buenos Aires
La Beba;Rojas;Provincia de Buenos Aires
Las Carabelas;Rojas;Provincia de Buenos Aires
Los Indios;Rojas;Provincia de Buenos Aires
Rafael Obligado;Rojas;Provincia de Buenos Aires
